✯熊猫频道✯,#genre#
测试1,https://cdn.jsdelivr.net/gh/mariosaka/Video/Your.Name/playlist.m3u8
转生,https://wy.bigmao.top/api/GetDownUrlMu/d273758be9f14821ab72792c80e0b3e2/dcee179f64754bf0ad421167ee95d31e.m3u8
直播精彩回放,http://gctxyc.liveplay.myqcloud.com/gc/ipanda_1/index.m3u8?BR=td&use_tlive=0&begintimeback=967000&adapt=0
怡然,http://gcalic.v.myalicdn.com/gc/xiongmao18_1/index.m3u8
基地幼年园1,http://gcalic.v.myalicdn.com/gc/xiongmao03_1/index.m3u8
基地幼年园2,http://gcalic.v.myalicdn.com/gc/xiongmao04_1/index.m3u8
基地幼儿园1,http://gcalic.v.myalicdn.com/gc/xiongmao05_1/index.m3u8
基地幼儿园2,http://gcalic.v.myalicdn.com/gc/xiongmao06_1/index.m3u8
成都母子园1,http://gcalic.v.myalicdn.com/gc/xiongmao07_1/index.m3u8
成都母子园2,http://gcalic.v.myalicdn.com/gc/xiongmao08_1/index.m3u8
成都一号别墅1,http://gcalic.v.myalicdn.com/gc/xiongmao09_1/index.m3u8
成都一号别墅2,http://gcalic.v.myalicdn.com/gc/xiongmao10_1/index.m3u8
都江堰京宝,http://gcalic.v.myalicdn.com/gc/xiongmao11_1/index.m3u8
都江堰水秀,http://gcalic.v.myalicdn.com/gc/xiongmao12_1/index.m3u8
都江堰泰山,http://gcalic.v.myalicdn.com/gc/xiongmao13_1/index.m3u8
都江堰青青,http://gcalic.v.myalicdn.com/gc/xiongmao20_1/index.m3u8
都江堰双楠园,http://gcalic.v.myalicdn.com/gc/xiongmao15_1/index.m3u8
都江堰兴安玉垒,http://gcalic.v.myalicdn.com/gc/xiongmao12_1/index.m3u8
卧龙核桃坪,http://gcalic.v.myalicdn.com/gc/xiongmao19_1/index.m3u8
神树坪A,http://gcalic.v.myalicdn.com/gc/xiongmao25_1/index.m3u8
神树坪B,http://gcalic.v.myalicdn.com/gc/xiongmao26_1/index.m3u8
神树坪C,http://gcalic.v.myalicdn.com/gc/xiongmao22_1/index.m3u8
云南白马雪山,http://gcalic.v.myalicdn.com/gc/xiongmao24_1/index.m3u8
大丰麋鹿,http://gcalic.v.myalicdn.com/gc/xiongmao23_1/index.m3u8


✯央视频道✯,#genre#
CCTV-1,http://111.12.102.68:6610/PLTV/77777777/224/3221225674/index.m3u8?#CCTV-1,http://111.12.102.68:6610/PLTV/77777777/224/3221225654/index.m3u8?
CCTV-2,http://111.12.102.68:6610/PLTV/77777777/224/3221225676/index.m3u8?#CCTV-2,http://111.12.102.68:6610/PLTV/77777777/224/3221225657/index.m3u8?
CCTV-3,http://39.135.253.25/PLTV/88888888/224/3221230150/index.m3u8#CCTV-3,http://39.135.253.26/PLTV/88888888/224/3221230150/index.m3u8
CCTV-4,http://111.12.102.68:6610/PLTV/77777777/224/3221225775/index.m3u8?#CCTV-4,http://111.12.102.68:6610/PLTV/77777777/224/3221225761/index.m3u8?
CCTV-5,http://39.135.253.63/PLTV/88888888/224/3221230165/index.m3u8
CCTV-5+,http://111.12.102.68:6610/PLTV/77777777/224/3221225621/index.m3u8?#CCTV-5+,http://111.12.102.68:6610/PLTV/77777777/224/3221225712/index.m3u8?
CCTV-6 ,http://39.135.253.19/PLTV/88888888/224/3221230154/index.m3u8
CCTV-7,http://111.12.102.68:6610/PLTV/77777777/224/3221225627/index.m3u8?
CCTV-8,http://39.135.253.11/PLTV/88888888/224/3221230169/index.m3u8
CCTV-9,http://111.12.102.68:6610/PLTV/77777777/224/3221225633/index.m3u8?
CCTV-10,http://111.12.102.68:6610/PLTV/77777777/224/3221225624/index.m3u8?
CCTV-11,http://111.12.102.68:6610/PLTV/77777777/224/3221225739/index.m3u8?
CCTV-12,http://111.12.102.68:6610/PLTV/77777777/224/3221225645/index.m3u8?
CCTV-13,http://111.12.102.68:6610/PLTV/77777777/224/3221225742/index.m3u8?
CCTV-14,http://111.12.102.68:6610/PLTV/77777777/224/3221225673/index.m3u8?
CCTV-15,http://111.12.102.68:6610/PLTV/77777777/224/3221225693/index.m3u8?
CCTV-17,http://111.12.102.68:6610/PLTV/77777777/224/3221225513/index.m3u8?
CCTV-世界地理,http://39.135.253.10/PLTV/88888888/224/3221230072/index.m3u8
CCTV-兵器科技,http://39.135.253.31/PLTV/88888888/224/3221230162/index.m3u8
CCTV-央视台球,http://39.135.253.37/PLTV/88888888/224/3221230173/index.m3u8
CCTV-第一剧场,http://39.135.253.45/PLTV/88888888/224/3221230080/index.m3u8
CCTV-高尔夫网球,http://39.135.253.27/PLTV/88888888/224/3221230085/index.m3u8



✯卫视频道✯,#genre#
浙江卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225695/index.m3u8?
湖南卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225692/index.m3u8?
上海东方卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225682/index.m3u8?#http://39.135.138.59:18890/PLTV/88888910/224/3221225659/index.m3u8
上海五星体育,http://39.134.39.37/PLTV/88888888/224/3221226178/index.m3u8
上海七彩戏曲,http://183.207.255.188/live/program/live/qcxj/1300000/mnf.m3u8
江苏卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225636/index.m3u8?#http://39.134.39.39/PLTV/88888888/224/3221226157/index.m3u8
北京卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225664/index.m3u8?
北京冬奥,http://111.12.102.68:6610/PLTV/77777777/224/3221225667/index.m3u8?
天津卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225675/index.m3u8?
东南卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225696/index.m3u8?
山东卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225642/index.m3u8?
湖北卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225689/index.m3u8?
安徽卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225671/index.m3u8?
广东卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225666/index.m3u8?
深圳卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225691/index.m3u8?
辽宁卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225639/index.m3u8?
江西卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225669/index.m3u8?
